player,team,season,type
Adrien Bongiovanni,None,2016-2017,club
Davy Delpierre,None,2016-2017,club
Ibrahima Diallo,None,2016-2017,club
Jalil Enjolras,None,2016-2017,club
Franck Irie,None,2016-2017,club
Christian Koffi,None,2016-2017,club
Antoine Makoumbou,None,2016-2017,club
Joris Mallet,None,2016-2017,club
Tristan Muyumba,None,2016-2017,club
Jonas Payet,None,2016-2017,club
Mehdi Zerkane,None,2016-2017,club
Nabil Alioui,None,2016-2017,club
Vadim Bakatin,None,2016-2017,club
Irvin Cardona,None,2016-2017,club
Alban Dupa,None,2016-2017,club
Jean-Charles Kerjean,None,2016-2017,club
Jason Mbock,None,2016-2017,club
Moussa Sylla,None,2016-2017,club
Frederic Barilaro,None,2016-2017,club
Paul Nardi,AS Monaco,2015-2016,club
Danijel Subasic,AS Monaco,2015-2016,club
Seydou Sy,AS Monaco,2015-2016,club
Mehdi Beneddine,AS Monaco,2015-2016,club
Raphael Diarra,AS Monaco,2015-2016,club
Elderson Echiejile,AS Monaco,2015-2016,club
Fabinho,AS Monaco,2015-2016,club
Fabio Coentrao,AS Monaco,2015-2016,club
Jemerson,AS Monaco,2015-2016,club
Kevin N'Doram,AS Monaco,2015-2016,club
Andrea Raggi,AS Monaco,2015-2016,club
Ricardo Carvalho,AS Monaco,2015-2016,club
Almamy Toure,AS Monaco,2015-2016,club
Wallace,AS Monaco,2015-2016,club
Fares Bahlouli,AS Monaco,2015-2016,club
Tiemoue Bakayoko,AS Monaco,2015-2016,club
Bernardo Silva,AS Monaco,2015-2016,club
Nabil Dirar,AS Monaco,2015-2016,club
Joao Moutinho,AS Monaco,2015-2016,club
Jonathan Mexique,AS Monaco,2015-2016,club
Mario Pasalic,AS Monaco,2015-2016,club
Abdou Aziz Thiam,AS Monaco,2015-2016,club
Jeremy Toulalan,AS Monaco,2015-2016,club
Adama Traore II,AS Monaco,2015-2016,club
Yhoan Andzouana,AS Monaco,2015-2016,club
Guido Carrillo,AS Monaco,2015-2016,club
Mohamed Ilyes Chaibi,AS Monaco,2015-2016,club
Helder Costa,AS Monaco,2015-2016,club
Ivan Cavaleiro,AS Monaco,2015-2016,club
Thomas Lemar,AS Monaco,2015-2016,club
Corentin Tirard,AS Monaco,2015-2016,club
Lacina Traore,AS Monaco,2015-2016,club
Vagner Love,AS Monaco,2015-2016,club
Leonardo Jardim,AS Monaco,2015-2016,club
Antonio Vieira,AS Monaco,2015-2016,club
Jean Petit,AS Monaco,2015-2016,club
Andre Amitrano,AS Monaco,2015-2016,club
Loic Badiashile,AS Monaco,2016-2017,club
Morgan De Sanctis,AS Monaco,2016-2017,club
Danijel Subasic,AS Monaco,2016-2017,club
Seydou Sy,AS Monaco,2016-2017,club
Kouadio-Yves Dabila,AS Monaco,2016-2017,club
Abdou Diallo,AS Monaco,2016-2017,club
Nabil Dirar,AS Monaco,2016-2017,club
Kamil Glik,AS Monaco,2016-2017,club
Jemerson,AS Monaco,2016-2017,club
Jorge,AS Monaco,2016-2017,club
Safwan Mbae,AS Monaco,2016-2017,club
Benjamin Mendy,AS Monaco,2016-2017,club
Kevin N'Doram,AS Monaco,2016-2017,club
Pierre-Daniel Nguinda Ndiffon,AS Monaco,2016-2017,club
Andrea Raggi,AS Monaco,2016-2017,club
Djibril Sidibe,AS Monaco,2016-2017,club
Almamy Toure,AS Monaco,2016-2017,club
Tiemoue Bakayoko,AS Monaco,2016-2017,club
Dylan Beaulieu,AS Monaco,2016-2017,club
Bernardo Silva,AS Monaco,2016-2017,club
Adrien Bongiovanni,AS Monaco,2016-2017,club
Boschilia,AS Monaco,2016-2017,club
Fabinho,AS Monaco,2016-2017,club
Joao Moutinho,AS Monaco,2016-2017,club
Tristan Muyumba,AS Monaco,2016-2017,club
Yhoan Andzouana,AS Monaco,2016-2017,club
Irvin Cardona,AS Monaco,2016-2017,club
Guido Carrillo,AS Monaco,2016-2017,club
Radamel Falcao,AS Monaco,2016-2017,club
Valere Germain,AS Monaco,2016-2017,club
Thomas Lemar,AS Monaco,2016-2017,club
Corentin Tirard,AS Monaco,2016-2017,club
Leonardo Jardim,AS Monaco,2016-2017,club
Antonio Vieira,AS Monaco,2016-2017,club
Jose Barros,AS Monaco,2016-2017,club
Andre Amitrano,AS Monaco,2016-2017,club
Alphonse Areola,Paris Saint-Germain,2017-2018,club
Sebastien Cibois,Paris Saint-Germain,2017-2018,club
Kevin Trapp,Paris Saint-Germain,2017-2018,club
Dani Alves,Paris Saint-Germain,2017-2018,club
Presnel Kimpembe,Paris Saint-Germain,2017-2018,club
Layvin Kurzawa,Paris Saint-Germain,2017-2018,club
Marquinhos,Paris Saint-Germain,2017-2018,club
Thomas Meunier,Paris Saint-Germain,2017-2018,club
Kevin Rimane,Paris Saint-Germain,2017-2018,club
Thiago Silva,Paris Saint-Germain,2017-2018,club
Yuri,Paris Saint-Germain,2017-2018,club
Yacine Adli,Paris Saint-Germain,2017-2018,club
Hatem Ben Arfa,Paris Saint-Germain,2017-2018,club
Antoine Bernede,Paris Saint-Germain,2017-2018,club
Lorenzo Callegari,Paris Saint-Germain,2017-2018,club
Lassana Diarra,Paris Saint-Germain,2017-2018,club
Giovani Lo Celso,Paris Saint-Germain,2017-2018,club
Stanley N'Soki,Paris Saint-Germain,2017-2018,club
Christopher Nkunku,Paris Saint-Germain,2017-2018,club
Javier Pastore,Paris Saint-Germain,2017-2018,club
Adrien Rabiot,Paris Saint-Germain,2017-2018,club
Thiago Motta,Paris Saint-Germain,2017-2018,club
Marco Verratti,Paris Saint-Germain,2017-2018,club
Edinson Cavani,Paris Saint-Germain,2017-2018,club
Angel Di Maria,Paris Saint-Germain,2017-2018,club
Julian Draxler,Paris Saint-Germain,2017-2018,club
Neymar,Paris Saint-Germain,2017-2018,club
Timothy Weah,Paris Saint-Germain,2017-2018,club
Unai Emery,Paris Saint-Germain,2017-2018,club
Zoumana Camara,Paris Saint-Germain,2017-2018,club
Carcedo,Paris Saint-Germain,2017-2018,club
Victor Manas,Paris Saint-Germain,2017-2018,club
Villa,Paris Saint-Germain,2017-2018,club
Javier Garcia,Paris Saint-Germain,2017-2018,club
Alphonse Areola,Paris Saint-Germain,2018-2019,club
Gianluigi Buffon,Paris Saint-Germain,2018-2019,club
Sebastien Cibois,Paris Saint-Germain,2018-2019,club
Colin Dagba,Paris Saint-Germain,2018-2019,club
Dani Alves,Paris Saint-Germain,2018-2019,club
Juan Bernat,Paris Saint-Germain,2018-2019,club
Thilo Kehrer,Paris Saint-Germain,2018-2019,club
Presnel Kimpembe,Paris Saint-Germain,2018-2019,club
Layvin Kurzawa,Paris Saint-Germain,2018-2019,club
Marquinhos,Paris Saint-Germain,2018-2019,club
Loic Mbe Soh,Paris Saint-Germain,2018-2019,club
Thomas Meunier,Paris Saint-Germain,2018-2019,club
Thiago Silva,Paris Saint-Germain,2018-2019,club
Arthur Zagre,Paris Saint-Germain,2018-2019,club
Eric Dina Ebimbe,Paris Saint-Germain,2018-2019,club
Isaac Hemans Arday,Paris Saint-Germain,2018-2019,club
Stanley N'Soki,Paris Saint-Germain,2018-2019,club
Christopher Nkunku,Paris Saint-Germain,2018-2019,club
Leandro Paredes,Paris Saint-Germain,2018-2019,club
Adrien Rabiot,Paris Saint-Germain,2018-2019,club
Azzeddine Toufiqui,Paris Saint-Germain,2018-2019,club
Marco Verratti,Paris Saint-Germain,2018-2019,club
Edinson Cavani,Paris Saint-Germain,2018-2019,club
Eric Maxim Choupo-Moting,Paris Saint-Germain,2018-2019,club
Angel Di Maria,Paris Saint-Germain,2018-2019,club
Moussa Diaby,Paris Saint-Germain,2018-2019,club
Julian Draxler,Paris Saint-Germain,2018-2019,club
Metehan Guclu,Paris Saint-Germain,2018-2019,club
Neymar,Paris Saint-Germain,2018-2019,club
Thomas Tuchel,Paris Saint-Germain,2018-2019,club
Zoumana Camara,Paris Saint-Germain,2018-2019,club
Zsolt Low,Paris Saint-Germain,2018-2019,club
Arno Michels,Paris Saint-Germain,2018-2019,club
Benjamin Weber,Paris Saint-Germain,2018-2019,club
Gianluca Spinelli,Paris Saint-Germain,2018-2019,club
Rainer Schrey,Paris Saint-Germain,2018-2019,club
Marcin Bulka,Paris Saint-Germain,2019-2020,club
Garissone Innocent,Paris Saint-Germain,2019-2020,club
Keylor Navas,Paris Saint-Germain,2019-2020,club
Sergio Rico,Paris Saint-Germain,2019-2020,club
Mitchel Bakker,Paris Saint-Germain,2019-2020,club
Colin Dagba,Paris Saint-Germain,2019-2020,club
Abdou Diallo,Paris Saint-Germain,2019-2020,club
Juan Bernat,Paris Saint-Germain,2019-2020,club
Thilo Kehrer,Paris Saint-Germain,2019-2020,club
Presnel Kimpembe,Paris Saint-Germain,2019-2020,club
Nianzou Kouassi,Paris Saint-Germain,2019-2020,club
Layvin Kurzawa,Paris Saint-Germain,2019-2020,club
Marquinhos,Paris Saint-Germain,2019-2020,club
Loic Mbe Soh,Paris Saint-Germain,2019-2020,club
Thomas Meunier,Paris Saint-Germain,2019-2020,club
Thiago Silva,Paris Saint-Germain,2019-2020,club
Ander Herrera,Paris Saint-Germain,2019-2020,club
Adil Aouchiche,Paris Saint-Germain,2019-2020,club
Idrissa Gueye,Paris Saint-Germain,2019-2020,club
Pablo Sarabia,Paris Saint-Germain,2019-2020,club
Leandro Paredes,Paris Saint-Germain,2019-2020,club
Marco Verratti,Paris Saint-Germain,2019-2020,club
Edinson Cavani,Paris Saint-Germain,2019-2020,club
Eric Maxim Choupo-Moting,Paris Saint-Germain,2019-2020,club
Angel Di Maria,Paris Saint-Germain,2019-2020,club
Julian Draxler,Paris Saint-Germain,2019-2020,club
Mauro Icardi,Paris Saint-Germain,2019-2020,club
Arnaud Muinga,Paris Saint-Germain,2019-2020,club
Neymar,Paris Saint-Germain,2019-2020,club
Thomas Tuchel,Paris Saint-Germain,2019-2020,club
Zoumana Camara,Paris Saint-Germain,2019-2020,club
Zsolt Low,Paris Saint-Germain,2019-2020,club
Arno Michels,Paris Saint-Germain,2019-2020,club
Benjamin Weber,Paris Saint-Germain,2019-2020,club
Gianluca Spinelli,Paris Saint-Germain,2019-2020,club
Rainer Schrey,Paris Saint-Germain,2019-2020,club
Alphonse Areola,France,2014-2015,nation
Benoit Costil,France,2014-2015,nation
Hugo Lloris,France,2014-2015,nation
Steve Mandanda,France,2014-2015,nation
Stephane Ruffier,France,2014-2015,nation
Mathieu Debuchy,France,2014-2015,nation
Lucas Digne,France,2014-2015,nation
Patrice Evra,France,2014-2015,nation
Christophe Jallet,France,2014-2015,nation
Laurent Koscielny,France,2014-2015,nation
Eliaquim Mangala,France,2014-2015,nation
Bacary Sagna,France,2014-2015,nation
Mamadou Sakho,France,2014-2015,nation
Benoit Tremoulinas,France,2014-2015,nation
Raphael Varane,France,2014-2015,nation
Kurt Zouma,France,2014-2015,nation
Hatem Ben Arfa,France,2014-2015,nation
Yohan Cabaye,France,2014-2015,nation
Kingsley Coman,France,2014-2015,nation
Lassana Diarra,France,2014-2015,nation
Nabil Fekir,France,2014-2015,nation
Maxime Gonalons,France,2014-2015,nation
Josuha Guilavogui,France,2014-2015,nation
Geoffrey Kondogbia,France,2014-2015,nation
Blaise Matuidi,France,2014-2015,nation
Paul-Georges Ntep,France,2014-2015,nation
Loic Perrin,France,2014-2015,nation
Paul Pogba,France,2014-2015,nation
Morgan Schneiderlin,France,2014-2015,nation
Moussa Sissoko,France,2014-2015,nation
Mathieu Valbuena,France,2014-2015,nation
Karim Benzema,France,2014-2015,nation
Andre-Pierre Gignac,France,2014-2015,nation
Olivier Giroud,France,2014-2015,nation
Antoine Griezmann,France,2014-2015,nation
Alexandre Lacazette,France,2014-2015,nation
Anthony Martial,France,2014-2015,nation
Dimitri Payet,France,2014-2015,nation
Didier Deschamps,France,2014-2015,nation
Alphonse Areola,France,2015-2016,nation
Benoit Costil,France,2015-2016,nation
Hugo Lloris,France,2015-2016,nation
Steve Mandanda,France,2015-2016,nation
Sebastien Corchia,France,2015-2016,nation
Lucas Digne,France,2015-2016,nation
Patrice Evra,France,2015-2016,nation
Christophe Jallet,France,2015-2016,nation
Laurent Koscielny,France,2015-2016,nation
Layvin Kurzawa,France,2015-2016,nation
Eliaquim Mangala,France,2015-2016,nation
Jeremy Mathieu,France,2015-2016,nation
Adil Rami,France,2015-2016,nation
Bacary Sagna,France,2015-2016,nation
Mamadou Sakho,France,2015-2016,nation
Djibril Sidibe,France,2015-2016,nation
Samuel Umtiti,France,2015-2016,nation
Raphael Varane,France,2015-2016,nation
Yohan Cabaye,France,2015-2016,nation
Ousmane Dembele,France,2015-2016,nation
Lassana Diarra,France,2015-2016,nation
N'Golo Kante,France,2015-2016,nation
Geoffrey Kondogbia,France,2015-2016,nation
Blaise Matuidi,France,2015-2016,nation
Paul Pogba,France,2015-2016,nation
Adrien Rabiot,France,2015-2016,nation
Moussa Sissoko,France,2015-2016,nation
Kingsley Coman,France,2015-2016,nation
Nabil Fekir,France,2015-2016,nation
Kevin Gameiro,France,2015-2016,nation
Andre-Pierre Gignac,France,2015-2016,nation
Olivier Giroud,France,2015-2016,nation
Antoine Griezmann,France,2015-2016,nation
Thomas Lemar,France,2015-2016,nation
Anthony Martial,France,2015-2016,nation
Dimitri Payet,France,2015-2016,nation
Didier Deschamps,France,2015-2016,nation
Guy Stephan,France,2015-2016,nation
Franck Raviot,France,2015-2016,nation
Alphonse Areola,France,2016-2017,nation
Benoit Costil,France,2016-2017,nation
Hugo Lloris,France,2016-2017,nation
Steve Mandanda,France,2016-2017,nation
Sebastien Corchia,France,2016-2017,nation
Lucas Digne,France,2016-2017,nation
Christophe Jallet,France,2016-2017,nation
Presnel Kimpembe,France,2016-2017,nation
Laurent Koscielny,France,2016-2017,nation
Layvin Kurzawa,France,2016-2017,nation
Aymeric Laporte,France,2016-2017,nation
Benjamin Mendy,France,2016-2017,nation
Benjamin Pavard,France,2016-2017,nation
Adil Rami,France,2016-2017,nation
Bacary Sagna,France,2016-2017,nation
Djibril Sidibe,France,2016-2017,nation
Samuel Umtiti,France,2016-2017,nation
Raphael Varane,France,2016-2017,nation
Kurt Zouma,France,2016-2017,nation
Tiemoue Bakayoko,France,2016-2017,nation
Kingsley Coman,France,2016-2017,nation
Ousmane Dembele,France,2016-2017,nation
N'Golo Kante,France,2016-2017,nation
Blaise Matuidi,France,2016-2017,nation
Steven N'Zonzi,France,2016-2017,nation
Dimitri Payet,France,2016-2017,nation
Paul Pogba,France,2016-2017,nation
Adrien Rabiot,France,2016-2017,nation
Moussa Sissoko,France,2016-2017,nation
Corentin Tolisso,France,2016-2017,nation
Nabil Fekir,France,2016-2017,nation
Kevin Gameiro,France,2016-2017,nation
Olivier Giroud,France,2016-2017,nation
Antoine Griezmann,France,2016-2017,nation
Alexandre Lacazette,France,2016-2017,nation
Thomas Lemar,France,2016-2017,nation
Anthony Martial,France,2016-2017,nation
Florian Thauvin,France,2016-2017,nation
Didier Deschamps,France,2016-2017,nation
Alphonse Areola,France,2017-2018,nation
Hugo Lloris,France,2017-2018,nation
Steve Mandanda,France,2017-2018,nation
Lucas Digne,France,2017-2018,nation
Lucas Hernandez,France,2017-2018,nation
Presnel Kimpembe,France,2017-2018,nation
Laurent Koscielny,France,2017-2018,nation
Benjamin Mendy,France,2017-2018,nation
Ferland Mendy,France,2017-2018,nation
Benjamin Pavard,France,2017-2018,nation
Adil Rami,France,2017-2018,nation
Mamadou Sakho,France,2017-2018,nation
Djibril Sidibe,France,2017-2018,nation
Samuel Umtiti,France,2017-2018,nation
Raphael Varane,France,2017-2018,nation
Kurt Zouma,France,2017-2018,nation
Nabil Fekir,France,2017-2018,nation
N'Golo Kante,France,2017-2018,nation
Blaise Matuidi,France,2017-2018,nation
Steven N'Zonzi,France,2017-2018,nation
Tanguy NDombele,France,2017-2018,nation
Dimitri Payet,France,2017-2018,nation
Paul Pogba,France,2017-2018,nation
Adrien Rabiot,France,2017-2018,nation
Moussa Sissoko,France,2017-2018,nation
Corentin Tolisso,France,2017-2018,nation
Wissam Ben Yedder,France,2017-2018,nation
Ousmane Dembele,France,2017-2018,nation
Olivier Giroud,France,2017-2018,nation
Antoine Griezmann,France,2017-2018,nation
Thomas Lemar,France,2017-2018,nation
Anthony Martial,France,2017-2018,nation
Alassane Plea,France,2017-2018,nation
Florian Thauvin,France,2017-2018,nation
Didier Deschamps,France,2017-2018,nation
Alphonse Areola,France,2018-2019,nation
Benjamin Lecomte,France,2018-2019,nation
Hugo Lloris,France,2018-2019,nation
Mike Maignan,France,2018-2019,nation
Lucas Digne,France,2018-2019,nation
Leo Dubois,France,2018-2019,nation
Clement Lenglet,France,2018-2019,nation
Ferland Mendy,France,2018-2019,nation
Benjamin Pavard,France,2018-2019,nation
Samuel Umtiti,France,2018-2019,nation
Raphael Varane,France,2018-2019,nation
Kurt Zouma,France,2018-2019,nation
Kingsley Coman,France,2018-2019,nation
N'Golo Kante,France,2018-2019,nation
Blaise Matuidi,France,2018-2019,nation
Tanguy NDombele,France,2018-2019,nation
Paul Pogba,France,2018-2019,nation
Moussa Sissoko,France,2018-2019,nation
Florian Thauvin,France,2018-2019,nation
Wissam Ben Yedder,France,2018-2019,nation
Olivier Giroud,France,2018-2019,nation
Antoine Griezmann,France,2018-2019,nation
Thomas Lemar,France,2018-2019,nation
Didier Deschamps,France,2018-2019,nation
