player,team,season,type
Patrice Evra,Manchester United,2005-2006,club
Rio Ferdinand,Manchester United,2005-2006,club
Gabriel Heinze,Manchester United,2005-2006,club
Gary Neville,Manchester United,2005-2006,club
John O'Shea,Manchester United,2005-2006,club
Pique,Manchester United,2005-2006,club
Mikael Silvestre,Manchester United,2005-2006,club
Nemanja Vidic,Manchester United,2005-2006,club
Darren Fletcher,Manchester United,2005-2006,club
Quinton Fortune,Manchester United,2005-2006,club
Darron Gibson,Manchester United,2005-2006,club
Ryan Giggs,Manchester United,2005-2006,club
Ritchie Jones,Manchester United,2005-2006,club
Lee Martin,Manchester United,2005-2006,club
Floribert N'Galula,Manchester United,2005-2006,club
Ji-Sung Park,Manchester United,2005-2006,club
Kieran Richardson,Manchester United,2005-2006,club
Paul Scholes,Manchester United,2005-2006,club
Fraizer Campbell,Manchester United,2005-2006,club
Sylvain Ebanks-Blake,Manchester United,2005-2006,club
Kyle Moran,Manchester United,2005-2006,club
Wayne Rooney,Manchester United,2005-2006,club
Giuseppe Rossi,Manchester United,2005-2006,club
Louis Saha,Manchester United,2005-2006,club
Alan Smith,Manchester United,2005-2006,club
Ole Gunnar Solskjaer,Manchester United,2005-2006,club
Ruud van Nistelrooy,Manchester United,2005-2006,club
Alex Ferguson,Manchester United,2005-2006,club
Carlos Queiroz,Manchester United,2005-2006,club
Ben Foster,Manchester United,2006-2007,club
Tom Heaton,Manchester United,2006-2007,club
Tomasz Kuszczak,Manchester United,2006-2007,club
Edwin van der Sar,Manchester United,2006-2007,club
Wes Brown,Manchester United,2006-2007,club
Craig Cathcart,Manchester United,2006-2007,club
Patrice Evra,Manchester United,2006-2007,club
Rio Ferdinand,Manchester United,2006-2007,club
David Gray,Manchester United,2006-2007,club
Gabriel Heinze,Manchester United,2006-2007,club
Kieran Lee,Manchester United,2006-2007,club
Gary Neville,Manchester United,2006-2007,club
John O'Shea,Manchester United,2006-2007,club
Mikael Silvestre,Manchester United,2006-2007,club
Nemanja Vidic,Manchester United,2006-2007,club
Michael Barnes,Manchester United,2006-2007,club
Michael Carrick,Manchester United,2006-2007,club
Chris Eagles,Manchester United,2006-2007,club
Darren Fletcher,Manchester United,2006-2007,club
Ryan Giggs,Manchester United,2006-2007,club
Floribert N'Galula,Manchester United,2006-2007,club
Ji-Sung Park,Manchester United,2006-2007,club
Kieran Richardson,Manchester United,2006-2007,club
Paul Scholes,Manchester United,2006-2007,club
Fraizer Campbell,Manchester United,2006-2007,club
Fangzhuo Dong,Manchester United,2006-2007,club
Phil Marsh,Manchester United,2006-2007,club
Wayne Rooney,Manchester United,2006-2007,club
Louis Saha,Manchester United,2006-2007,club
Alan Smith,Manchester United,2006-2007,club
Ole Gunnar Solskjaer,Manchester United,2006-2007,club
Alex Ferguson,Manchester United,2006-2007,club
Carlos Queiroz,Manchester United,2006-2007,club
Ben Foster,Manchester United,2007-2008,club
Tom Heaton,Manchester United,2007-2008,club
Tomasz Kuszczak,Manchester United,2007-2008,club
Edwin van der Sar,Manchester United,2007-2008,club
Wes Brown,Manchester United,2007-2008,club
Craig Cathcart,Manchester United,2007-2008,club
Patrice Evra,Manchester United,2007-2008,club
Rio Ferdinand,Manchester United,2007-2008,club
Gary Neville,Manchester United,2007-2008,club
John O'Shea,Manchester United,2007-2008,club
Pique,Manchester United,2007-2008,club
Mikael Silvestre,Manchester United,2007-2008,club
Nemanja Vidic,Manchester United,2007-2008,club
Anderson,Manchester United,2007-2008,club
Michael Carrick,Manchester United,2007-2008,club
Chris Eagles,Manchester United,2007-2008,club
Darren Fletcher,Manchester United,2007-2008,club
Darron Gibson,Manchester United,2007-2008,club
Ryan Giggs,Manchester United,2007-2008,club
Owen Hargreaves,Manchester United,2007-2008,club
Sam Hewson,Manchester United,2007-2008,club
Lee Martin,Manchester United,2007-2008,club
Ji-Sung Park,Manchester United,2007-2008,club
Rodrigo Possebon,Manchester United,2007-2008,club
Paul Scholes,Manchester United,2007-2008,club
Fangzhuo Dong,Manchester United,2007-2008,club
Nani,Manchester United,2007-2008,club
Wayne Rooney,Manchester United,2007-2008,club
Louis Saha,Manchester United,2007-2008,club
Carlos Tevez,Manchester United,2007-2008,club
Danny Welbeck,Manchester United,2007-2008,club
Alex Ferguson,Manchester United,2007-2008,club
Carlos Queiroz,Manchester United,2007-2008,club
Ben Amos,Manchester United,2008-2009,club
Ben Foster,Manchester United,2008-2009,club
Tomasz Kuszczak,Manchester United,2008-2009,club
Edwin van der Sar,Manchester United,2008-2009,club
Ron-Robert Zieler,Manchester United,2008-2009,club
Wes Brown,Manchester United,2008-2009,club
James Chester,Manchester United,2008-2009,club
Ritchie De Laet,Manchester United,2008-2009,club
Richard Eckersley,Manchester United,2008-2009,club
Jonny Evans,Manchester United,2008-2009,club
Patrice Evra,Manchester United,2008-2009,club
Fabio,Manchester United,2008-2009,club
Rio Ferdinand,Manchester United,2008-2009,club
Gary Neville,Manchester United,2008-2009,club
John O'Shea,Manchester United,2008-2009,club
Rafael,Manchester United,2008-2009,club
Nemanja Vidic,Manchester United,2008-2009,club
Anderson,Manchester United,2008-2009,club
Michael Carrick,Manchester United,2008-2009,club
Darren Fletcher,Manchester United,2008-2009,club
Darron Gibson,Manchester United,2008-2009,club
Ryan Giggs,Manchester United,2008-2009,club
Owen Hargreaves,Manchester United,2008-2009,club
Lee Martin,Manchester United,2008-2009,club
Ji-Sung Park,Manchester United,2008-2009,club
Rodrigo Possebon,Manchester United,2008-2009,club
Paul Scholes,Manchester United,2008-2009,club
Zoran Tosic,Manchester United,2008-2009,club
Dimitar Berbatov,Manchester United,2008-2009,club
Federico Macheda,Manchester United,2008-2009,club
Nani,Manchester United,2008-2009,club
Wayne Rooney,Manchester United,2008-2009,club
Carlos Tevez,Manchester United,2008-2009,club
Danny Welbeck,Manchester United,2008-2009,club
Alex Ferguson,Manchester United,2008-2009,club
Rene Meulensteen,Manchester United,2008-2009,club
Mike Phelan,Manchester United,2008-2009,club
Eric Steele,Manchester United,2008-2009,club
Adan,Real Madrid,2009-2010,club
Jerzy Dudek,Real Madrid,2009-2010,club
Iker Casillas,Real Madrid,2009-2010,club
Arbeloa,Real Madrid,2009-2010,club
Royston Drenthe,Real Madrid,2009-2010,club
Ezequiel Garay,Real Madrid,2009-2010,club
Juanfran,Real Madrid,2009-2010,club
Marcelo,Real Madrid,2009-2010,club
Marcos Alonso,Real Madrid,2009-2010,club
Christoph Metzelder,Real Madrid,2009-2010,club
Pepe,Real Madrid,2009-2010,club
Raul Albiol,Real Madrid,2009-2010,club
Sergio Ramos,Real Madrid,2009-2010,club
Lassana Diarra,Real Madrid,2009-2010,club
Mahamadou Diarra,Real Madrid,2009-2010,club
Fernando Gago,Real Madrid,2009-2010,club
Granero,Real Madrid,2009-2010,club
Guti,Real Madrid,2009-2010,club
Kaka,Real Madrid,2009-2010,club
Mosquera,Real Madrid,2009-2010,club
Rafael van der Vaart,Real Madrid,2009-2010,club
Xabi Alonso,Real Madrid,2009-2010,club
Karim Benzema,Real Madrid,2009-2010,club
Gonzalo Higuain,Real Madrid,2009-2010,club
Raul,Real Madrid,2009-2010,club
Manuel Pellegrini,Real Madrid,2009-2010,club
Ruben Cousillas,Real Madrid,2009-2010,club
Xabier,Real Madrid,2009-2010,club
Adan,Real Madrid,2010-2011,club
Jerzy Dudek,Real Madrid,2010-2011,club
Iker Casillas,Real Madrid,2010-2011,club
Jesus Fernandez,Real Madrid,2010-2011,club
Mejias,Real Madrid,2010-2011,club
Arbeloa,Real Madrid,2010-2011,club
Ezequiel Garay,Real Madrid,2010-2011,club
Jorge Casado,Real Madrid,2010-2011,club
Juanfran,Real Madrid,2010-2011,club
Marcelo,Real Madrid,2010-2011,club
Nacho,Real Madrid,2010-2011,club
Pepe,Real Madrid,2010-2011,club
Raul Albiol,Real Madrid,2010-2011,club
Ricardo Carvalho,Real Madrid,2010-2011,club
Sergio Ramos,Real Madrid,2010-2011,club
Alex,Real Madrid,2010-2011,club
Canales,Real Madrid,2010-2011,club
Angel Di Maria,Real Madrid,2010-2011,club
Lassana Diarra,Real Madrid,2010-2011,club
Fernando Gago,Real Madrid,2010-2011,club
Granero,Real Madrid,2010-2011,club
Juankar,Real Madrid,2010-2011,club
Kaka,Real Madrid,2010-2011,club
Sami Khedira,Real Madrid,2010-2011,club
Mandi,Real Madrid,2010-2011,club
Mesut Ozil,Real Madrid,2010-2011,club
Pablo Sarabia,Real Madrid,2010-2011,club
Pedro Leon,Real Madrid,2010-2011,club
Xabi Alonso,Real Madrid,2010-2011,club
Emmanuel Adebayor,Real Madrid,2010-2011,club
Karim Benzema,Real Madrid,2010-2011,club
Gonzalo Higuain,Real Madrid,2010-2011,club
Joselu,Real Madrid,2010-2011,club
Alvaro Morata,Real Madrid,2010-2011,club
Jose Mourinho,Real Madrid,2010-2011,club
Jose Morais,Real Madrid,2010-2011,club
Karanka,Real Madrid,2010-2011,club
Silvino,Real Madrid,2010-2011,club
Adan,Real Madrid,2011-2012,club
Iker Casillas,Real Madrid,2011-2012,club
Jesus Fernandez,Real Madrid,2011-2012,club
Mejias,Real Madrid,2011-2012,club
Pacheco,Real Madrid,2011-2012,club
Arbeloa,Real Madrid,2011-2012,club
Fabio Coentrao,Real Madrid,2011-2012,club
Fran,Real Madrid,2011-2012,club
Jorge Casado,Real Madrid,2011-2012,club
Marcelo,Real Madrid,2011-2012,club
Nacho,Real Madrid,2011-2012,club
Pedro Mendes,Real Madrid,2011-2012,club
Pepe,Real Madrid,2011-2012,club
Raul Albiol,Real Madrid,2011-2012,club
Ricardo Carvalho,Real Madrid,2011-2012,club
Sergio Ramos,Real Madrid,2011-2012,club
Raphael Varane,Real Madrid,2011-2012,club
Hamit Altintop,Real Madrid,2011-2012,club
Angel Di Maria,Real Madrid,2011-2012,club
Lassana Diarra,Real Madrid,2011-2012,club
Granero,Real Madrid,2011-2012,club
Kaka,Real Madrid,2011-2012,club
Sami Khedira,Real Madrid,2011-2012,club
Mesut Ozil,Real Madrid,2011-2012,club
Nuri Sahin,Real Madrid,2011-2012,club
Xabi Alonso,Real Madrid,2011-2012,club
Karim Benzema,Real Madrid,2011-2012,club
Gonzalo Higuain,Real Madrid,2011-2012,club
Jese,Real Madrid,2011-2012,club
Jose Callejon,Real Madrid,2011-2012,club
Joselu,Real Madrid,2011-2012,club
Alvaro Morata,Real Madrid,2011-2012,club
Jose Mourinho,Real Madrid,2011-2012,club
Jose Morais,Real Madrid,2011-2012,club
Karanka,Real Madrid,2011-2012,club
Silvino,Real Madrid,2011-2012,club
Adan,Real Madrid,2012-2013,club
Diego Lopez,Real Madrid,2012-2013,club
Iker Casillas,Real Madrid,2012-2013,club
Jesus Fernandez,Real Madrid,2012-2013,club
Arbeloa,Real Madrid,2012-2013,club
Fabinho,Real Madrid,2012-2013,club
Fabio Coentrao,Real Madrid,2012-2013,club
Jorge Casado,Real Madrid,2012-2013,club
Juanfran,Real Madrid,2012-2013,club
Llorente,Real Madrid,2012-2013,club
Marcelo,Real Madrid,2012-2013,club
Nacho,Real Madrid,2012-2013,club
Pepe,Real Madrid,2012-2013,club
Raul Albiol,Real Madrid,2012-2013,club
Ricardo Carvalho,Real Madrid,2012-2013,club
Sergio Ramos,Real Madrid,2012-2013,club
Raphael Varane,Real Madrid,2012-2013,club
Alex,Real Madrid,2012-2013,club
Casemiro,Real Madrid,2012-2013,club
Angel Di Maria,Real Madrid,2012-2013,club
Michael Essien,Real Madrid,2012-2013,club
Jose Rodriguez,Real Madrid,2012-2013,club
Kaka,Real Madrid,2012-2013,club
Sami Khedira,Real Madrid,2012-2013,club
Mascarell,Real Madrid,2012-2013,club
Luka Modric,Real Madrid,2012-2013,club
Mesut Ozil,Real Madrid,2012-2013,club
Xabi Alonso,Real Madrid,2012-2013,club
Karim Benzema,Real Madrid,2012-2013,club
Denis Cheryshev,Real Madrid,2012-2013,club
Gonzalo Higuain,Real Madrid,2012-2013,club
Jese,Real Madrid,2012-2013,club
Jose Callejon,Real Madrid,2012-2013,club
Alvaro Morata,Real Madrid,2012-2013,club
Jose Mourinho,Real Madrid,2012-2013,club
Jose Morais,Real Madrid,2012-2013,club
Karanka,Real Madrid,2012-2013,club
Silvino,Real Madrid,2012-2013,club
Diego Lopez,Real Madrid,2013-2014,club
Iker Casillas,Real Madrid,2013-2014,club
Jesus Fernandez,Real Madrid,2013-2014,club
Arbeloa,Real Madrid,2013-2014,club
Dani Carvajal,Real Madrid,2013-2014,club
Fabio Coentrao,Real Madrid,2013-2014,club
Jorge Casado,Real Madrid,2013-2014,club
Llorente,Real Madrid,2013-2014,club
Marcelo,Real Madrid,2013-2014,club
Nacho,Real Madrid,2013-2014,club
Pepe,Real Madrid,2013-2014,club
Sergio Ramos,Real Madrid,2013-2014,club
Raphael Varane,Real Madrid,2013-2014,club
Borja Garcia,Real Madrid,2013-2014,club
Casemiro,Real Madrid,2013-2014,club
Angel Di Maria,Real Madrid,2013-2014,club
Illarra,Real Madrid,2013-2014,club
Isco,Real Madrid,2013-2014,club
Jose Rodriguez,Real Madrid,2013-2014,club
Sami Khedira,Real Madrid,2013-2014,club
Mascarell,Real Madrid,2013-2014,club
Medran,Real Madrid,2013-2014,club
Luka Modric,Real Madrid,2013-2014,club
Xabi Alonso,Real Madrid,2013-2014,club
Gareth Bale,Real Madrid,2013-2014,club
Karim Benzema,Real Madrid,2013-2014,club
Burgui,Real Madrid,2013-2014,club
Jese,Real Madrid,2013-2014,club
Lucas Vazquez,Real Madrid,2013-2014,club
Alvaro Morata,Real Madrid,2013-2014,club
Raul de Tomas,Real Madrid,2013-2014,club
Willian Jose,Real Madrid,2013-2014,club
Carlo Ancelotti,Real Madrid,2013-2014,club
Paul Clement,Real Madrid,2013-2014,club
Zinedine Zidane,Real Madrid,2013-2014,club
Villiam Vecchi,Real Madrid,2013-2014,club
Iker Casillas,Real Madrid,2014-2015,club
Keylor Navas,Real Madrid,2014-2015,club
Pacheco,Real Madrid,2014-2015,club
Ruben Yanez,Real Madrid,2014-2015,club
Abner Felipe,Real Madrid,2014-2015,club
Arbeloa,Real Madrid,2014-2015,club
Dani Carvajal,Real Madrid,2014-2015,club
Derik,Real Madrid,2014-2015,club
Fabio Coentrao,Real Madrid,2014-2015,club
Jaime,Real Madrid,2014-2015,club
Javi Noblejas,Real Madrid,2014-2015,club
Marcelo,Real Madrid,2014-2015,club
Nacho,Real Madrid,2014-2015,club
Pepe,Real Madrid,2014-2015,club
Sergio Ramos,Real Madrid,2014-2015,club
Raphael Varane,Real Madrid,2014-2015,club
Guillermo Varela,Real Madrid,2014-2015,club
Aguza,Real Madrid,2014-2015,club
Illarra,Real Madrid,2014-2015,club
Isco,Real Madrid,2014-2015,club
Javi Munoz,Real Madrid,2014-2015,club
Sami Khedira,Real Madrid,2014-2015,club
Toni Kroos,Real Madrid,2014-2015,club
Lucas Silva,Real Madrid,2014-2015,club
Lucas Torro,Real Madrid,2014-2015,club
Marcos Llorente,Real Madrid,2014-2015,club
Medran,Real Madrid,2014-2015,club
Luka Modric,Real Madrid,2014-2015,club
Martin Odegaard,Real Madrid,2014-2015,club
James Rodriguez,Real Madrid,2014-2015,club
Gareth Bale,Real Madrid,2014-2015,club
Karim Benzema,Real Madrid,2014-2015,club
Borja Mayoral,Real Madrid,2014-2015,club
Javier Hernandez,Real Madrid,2014-2015,club
Jese,Real Madrid,2014-2015,club
Eero Markkanen,Real Madrid,2014-2015,club
Raul de Tomas,Real Madrid,2014-2015,club
Carlo Ancelotti,Real Madrid,2014-2015,club
Hierro,Real Madrid,2014-2015,club
Villiam Vecchi,Real Madrid,2014-2015,club
Alex Craninx,Real Madrid,2015-2016,club
Kiko Casilla,Real Madrid,2015-2016,club
Keylor Navas,Real Madrid,2015-2016,club
Ruben Yanez,Real Madrid,2015-2016,club
Alvaro Tejero,Real Madrid,2015-2016,club
Arbeloa,Real Madrid,2015-2016,club
Dani Carvajal,Real Madrid,2015-2016,club
Danilo,Real Madrid,2015-2016,club
Philipp Lienhart,Real Madrid,2015-2016,club
Marcelo,Real Madrid,2015-2016,club
Nacho,Real Madrid,2015-2016,club
Pepe,Real Madrid,2015-2016,club
Sergio Ramos,Real Madrid,2015-2016,club
Raphael Varane,Real Madrid,2015-2016,club
Casemiro,Real Madrid,2015-2016,club
Isco,Real Madrid,2015-2016,club
Mateo Kovacic,Real Madrid,2015-2016,club
Toni Kroos,Real Madrid,2015-2016,club
Lazo,Real Madrid,2015-2016,club
Marcos Llorente,Real Madrid,2015-2016,club
Luka Modric,Real Madrid,2015-2016,club
Martin Odegaard,Real Madrid,2015-2016,club
James Rodriguez,Real Madrid,2015-2016,club
Gareth Bale,Real Madrid,2015-2016,club
Karim Benzema,Real Madrid,2015-2016,club
Borja Mayoral,Real Madrid,2015-2016,club
Jese,Real Madrid,2015-2016,club
Lucas Vazquez,Real Madrid,2015-2016,club
Zinedine Zidane,Real Madrid,2015-2016,club
David Bettoni,Real Madrid,2015-2016,club
Hamidou Msaidie,Real Madrid,2015-2016,club
Lluis Llopis,Real Madrid,2015-2016,club
Jose Carlos Parrales,Real Madrid,2015-2016,club
Kiko Casilla,Real Madrid,2016-2017,club
Keylor Navas,Real Madrid,2016-2017,club
Ruben Yanez,Real Madrid,2016-2017,club
Alvaro Tejero,Real Madrid,2016-2017,club
Dani Carvajal,Real Madrid,2016-2017,club
Danilo,Real Madrid,2016-2017,club
Fabio Coentrao,Real Madrid,2016-2017,club
Achraf Hakimi,Real Madrid,2016-2017,club
Marcelo,Real Madrid,2016-2017,club
Nacho,Real Madrid,2016-2017,club
Pepe,Real Madrid,2016-2017,club
Sergio Ramos,Real Madrid,2016-2017,club
Raphael Varane,Real Madrid,2016-2017,club
Casemiro,Real Madrid,2016-2017,club
Isco,Real Madrid,2016-2017,club
Mateo Kovacic,Real Madrid,2016-2017,club
Toni Kroos,Real Madrid,2016-2017,club
Marco Asensio,Real Madrid,2016-2017,club
Luka Modric,Real Madrid,2016-2017,club
James Rodriguez,Real Madrid,2016-2017,club
Enzo Zidane,Real Madrid,2016-2017,club
Gareth Bale,Real Madrid,2016-2017,club
Karim Benzema,Real Madrid,2016-2017,club
Lucas Vazquez,Real Madrid,2016-2017,club
Mariano,Real Madrid,2016-2017,club
Alvaro Morata,Real Madrid,2016-2017,club
Zinedine Zidane,Real Madrid,2016-2017,club
David Bettoni,Real Madrid,2016-2017,club
Hamidou Msaidie,Real Madrid,2016-2017,club
Lluis Llopis,Real Madrid,2016-2017,club
Antonio Pintus,Real Madrid,2016-2017,club
Jose Carlos Parrales,Real Madrid,2016-2017,club
Kiko Casilla,Real Madrid,2017-2018,club
Moha Ramos,Real Madrid,2017-2018,club
Keylor Navas,Real Madrid,2017-2018,club
Luca Zidane,Real Madrid,2017-2018,club
Alvaro Tejero,Real Madrid,2017-2018,club
Dani Carvajal,Real Madrid,2017-2018,club
Achraf Hakimi,Real Madrid,2017-2018,club
Theo Hernandez,Real Madrid,2017-2018,club
Manu Hernando,Real Madrid,2017-2018,club
Marcelo,Real Madrid,2017-2018,club
Nacho,Real Madrid,2017-2018,club
Quezada,Real Madrid,2017-2018,club
Sergio Ramos,Real Madrid,2017-2018,club
Vallejo,Real Madrid,2017-2018,club
Raphael Varane,Real Madrid,2017-2018,club
Casemiro,Real Madrid,2017-2018,club
Dani Ceballos,Real Madrid,2017-2018,club
Francisco Feuillassier,Real Madrid,2017-2018,club
Isco,Real Madrid,2017-2018,club
Mateo Kovacic,Real Madrid,2017-2018,club
Toni Kroos,Real Madrid,2017-2018,club
Marco Asensio,Real Madrid,2017-2018,club
Marcos Llorente,Real Madrid,2017-2018,club
Luka Modric,Real Madrid,2017-2018,club
Oscar,Real Madrid,2017-2018,club
Seoane,Real Madrid,2017-2018,club
Gareth Bale,Real Madrid,2017-2018,club
Karim Benzema,Real Madrid,2017-2018,club
Borja Mayoral,Real Madrid,2017-2018,club
Cristo,Real Madrid,2017-2018,club
Lucas Vazquez,Real Madrid,2017-2018,club
David Bettoni,Real Madrid,2017-2018,club
Hamidou Msaidie,Real Madrid,2017-2018,club
Lluis Llopis,Real Madrid,2017-2018,club
Javier Mallo,Real Madrid,2017-2018,club
Antonio Pintus,Real Madrid,2017-2018,club
Jose Carlos Parrales,Real Madrid,2017-2018,club
Mattia Del Favero,Juventus,2018-2019,club
Leonardo Loria,Juventus,2018-2019,club
Mattia Perin,Juventus,2018-2019,club
Carlo Pinsoglio,Juventus,2018-2019,club
Wojciech Szczesny,Juventus,2018-2019,club
Alex Sandro,Juventus,2018-2019,club
Andrea Barzagli,Juventus,2018-2019,club
Leonardo Bonucci,Juventus,2018-2019,club
Martin Caceres,Juventus,2018-2019,club
Giorgio Chiellini,Juventus,2018-2019,club
Luca Coccolo,Juventus,2018-2019,club
Mattia De Sciglio,Juventus,2018-2019,club
Paolo Gozzi,Juventus,2018-2019,club
Joao Cancelo,Juventus,2018-2019,club
Daniele Rugani,Juventus,2018-2019,club
Rodrigo Bentancur,Juventus,2018-2019,club
Emre Can,Juventus,2018-2019,club
Paulo Dybala,Juventus,2018-2019,club
Nicolo Fagioli,Juventus,2018-2019,club
Grigoris Kastanos,Juventus,2018-2019,club
Sami Khedira,Juventus,2018-2019,club
Matheus Pereira,Juventus,2018-2019,club
Blaise Matuidi,Juventus,2018-2019,club
Simone Muratore,Juventus,2018-2019,club
Miralem Pjanic,Juventus,2018-2019,club
Manolo Portanova,Juventus,2018-2019,club
Leonardo Spinazzola,Juventus,2018-2019,club
Federico Bernardeschi,Juventus,2018-2019,club
Juan Cuadrado,Juventus,2018-2019,club
Douglas Costa,Juventus,2018-2019,club
Moise Kean,Juventus,2018-2019,club
Mario Mandzukic,Juventus,2018-2019,club
Stephy Mavididi,Juventus,2018-2019,club
Pablo Moreno,Juventus,2018-2019,club
Massimiliano Allegri,Juventus,2018-2019,club
Claudio Filippi,Juventus,2018-2019,club
Gianluigi Buffon,Juventus,2019-2020,club
Carlo Pinsoglio,Juventus,2019-2020,club
Wojciech Szczesny,Juventus,2019-2020,club
Alex Sandro,Juventus,2019-2020,club
Pietro Beruatto,Juventus,2019-2020,club
Leonardo Bonucci,Juventus,2019-2020,club
Giorgio Chiellini,Juventus,2019-2020,club
Luca Coccolo,Juventus,2019-2020,club
Danilo,Juventus,2019-2020,club
Matthijs de Ligt,Juventus,2019-2020,club
Mattia De Sciglio,Juventus,2019-2020,club
Merih Demiral,Juventus,2019-2020,club
Daniele Rugani,Juventus,2019-2020,club
Wesley,Juventus,2019-2020,club
Rodrigo Bentancur,Juventus,2019-2020,club
Paulo Dybala,Juventus,2019-2020,club
Sami Khedira,Juventus,2019-2020,club
Blaise Matuidi,Juventus,2019-2020,club
Simone Muratore,Juventus,2019-2020,club
Daouda Peeters,Juventus,2019-2020,club
Miralem Pjanic,Juventus,2019-2020,club
Manolo Portanova,Juventus,2019-2020,club
Adrien Rabiot,Juventus,2019-2020,club
Aaron Ramsey,Juventus,2019-2020,club
Federico Bernardeschi,Juventus,2019-2020,club
Juan Cuadrado,Juventus,2019-2020,club
Douglas Costa,Juventus,2019-2020,club
Gonzalo Higuain,Juventus,2019-2020,club
Marco Olivieri,Juventus,2019-2020,club
Maurizio Sarri,Juventus,2019-2020,club
