player,team,season
Anton Vuckov,Bayern München,1965-1966
Tschik Cajkovski,Bayern München,1965-1966
Fritz Kosar,Bayern München,1966-1967
Sepp Maier,Bayern München,1966-1967
Gerhard Welz,Bayern München,1966-1967
Stefan Bacak,Bayern München,1966-1967
Karl Borutta,Bayern München,1966-1967
Adolf Kunstwadl,Bayern München,1966-1967
Peter Kupferschmidt,Bayern München,1966-1967
Hans Nowak,Bayern München,1966-1967
Werner Olk,Bayern München,1966-1967
Hans Rigotti,Bayern München,1966-1967
Georg Schwarzenbeck,Bayern München,1966-1967
Franz Beckenbauer,Bayern München,1966-1967
Jakob Drescher,Bayern München,1966-1967
Rudolf Grosser,Bayern München,1966-1967
Dieter Koulmann,Bayern München,1966-1967
Rainer Ohlhauser,Bayern München,1966-1967
Franz Roth,Bayern München,1966-1967
Klaus Walleitner,Bayern München,1966-1967
Peter Werner,Bayern München,1966-1967
Dieter Brenninger,Bayern München,1966-1967
Wolfgang Comploy,Bayern München,1966-1967
Gerd Muller,Bayern München,1966-1967
Rudolf Nafziger,Bayern München,1966-1967
Gunther Nasdalla,Bayern München,1966-1967
Anton Vuckov,Bayern München,1966-1967
Tschik Cajkovski,Bayern München,1966-1967
Fritz Kosar,Bayern München,1967-1968
Sepp Maier,Bayern München,1967-1968
Peter Kupferschmidt,Bayern München,1967-1968
Hans Nowak,Bayern München,1967-1968
Werner Olk,Bayern München,1967-1968
Hans Rigotti,Bayern München,1967-1968
Georg Schwarzenbeck,Bayern München,1967-1968
Herbert Stockl,Bayern München,1967-1968
Franz Beckenbauer,Bayern München,1967-1968
Karl Deuerling,Bayern München,1967-1968
Dieter Koulmann,Bayern München,1967-1968
Rainer Ohlhauser,Bayern München,1967-1968
Franz Roth,Bayern München,1967-1968
Helmut Schmidt,Bayern München,1967-1968
Klaus Walleitner,Bayern München,1967-1968
Peter Werner,Bayern München,1967-1968
Dieter Brenninger,Bayern München,1967-1968
Wolfgang Comploy,Bayern München,1967-1968
Gustav Jung,Bayern München,1967-1968
Gerd Muller,Bayern München,1967-1968
Rudolf Nafziger,Bayern München,1967-1968
Horst Schauss,Bayern München,1967-1968
Tschik Cajkovski,Bayern München,1967-1968
Fritz Kosar,Bayern München,1968-1969
Sepp Maier,Bayern München,1968-1969
Franz Beckenbauer,Bayern München,1968-1969
Peter Kupferschmidt,Bayern München,1968-1969
Werner Olk,Bayern München,1968-1969
Peter Pumm,Bayern München,1968-1969
Georg Schwarzenbeck,Bayern München,1968-1969
Benno Zellermayer,Bayern München,1968-1969
Rainer Ohlhauser,Bayern München,1968-1969
Franz Roth,Bayern München,1968-1969
Helmut Schmidt,Bayern München,1968-1969
August Starek,Bayern München,1968-1969
Peter Stegmann,Bayern München,1968-1969
Albrecht Wachsmann,Bayern München,1968-1969
Dieter Brenninger,Bayern München,1968-1969
Gustav Jung,Bayern München,1968-1969
Reinhard Lippert,Bayern München,1968-1969
Gerd Muller,Bayern München,1968-1969
Branko Zebec,Bayern München,1968-1969
Sepp Maier,Bayern München,1969-1970
Manfred Seifert,Bayern München,1969-1970
Franz Beckenbauer,Bayern München,1969-1970
Herward Koppenhofer,Bayern München,1969-1970
Peter Kupferschmidt,Bayern München,1969-1970
Werner Olk,Bayern München,1969-1970
Peter Pumm,Bayern München,1969-1970
Georg Schwarzenbeck,Bayern München,1969-1970
Benno Zellermayer,Bayern München,1969-1970
Wolfgang Gierlinger,Bayern München,1969-1970
Klaus Klein,Bayern München,1969-1970
Helmut Nerlinger,Bayern München,1969-1970
Rainer Ohlhauser,Bayern München,1969-1970
Franz Roth,Bayern München,1969-1970
Helmut Schmidt,Bayern München,1969-1970
August Starek,Bayern München,1969-1970
Peter Stegmann,Bayern München,1969-1970
Dieter Brenninger,Bayern München,1969-1970
Gunther Michl,Bayern München,1969-1970
Karl-Heinz Mrosko,Bayern München,1969-1970
Gerd Muller,Bayern München,1969-1970
Udo Lattek,Bayern München,1969-1970
Sepp Maier,Bayern München,1970-1971
Manfred Seifert,Bayern München,1970-1971
Franz Beckenbauer,Bayern München,1970-1971
Paul Breitner,Bayern München,1970-1971
Johnny Hansen,Bayern München,1970-1971
Herward Koppenhofer,Bayern München,1970-1971
Peter Kupferschmidt,Bayern München,1970-1971
Peter Pumm,Bayern München,1970-1971
Georg Schwarzenbeck,Bayern München,1970-1971
Uli Hoeness,Bayern München,1970-1971
Franz Roth,Bayern München,1970-1971
Rainer Zobel,Bayern München,1970-1971
Dieter Brenninger,Bayern München,1970-1971
Jurgen Ey,Bayern München,1970-1971
Karl-Heinz Mrosko,Bayern München,1970-1971
Gerd Muller,Bayern München,1970-1971
Edgar Schneider,Bayern München,1970-1971
Udo Lattek,Bayern München,1970-1971
Sepp Maier,Bayern München,1971-1972
Helmut Schwalb,Bayern München,1971-1972
Manfred Seifert,Bayern München,1971-1972
Franz Beckenbauer,Bayern München,1971-1972
Paul Breitner,Bayern München,1971-1972
Johnny Hansen,Bayern München,1971-1972
Herward Koppenhofer,Bayern München,1971-1972
Gunther Rybarczyk,Bayern München,1971-1972
Georg Schwarzenbeck,Bayern München,1971-1972
Uli Hoeness,Bayern München,1971-1972
Franz Krauthausen,Bayern München,1971-1972
Franz Roth,Bayern München,1971-1972
Rainer Zobel,Bayern München,1971-1972
Franz Gerber,Bayern München,1971-1972
Wilhelm Hoffmann,Bayern München,1971-1972
Gerd Muller,Bayern München,1971-1972
Edgar Schneider,Bayern München,1971-1972
Wolfgang Suhnholz,Bayern München,1971-1972
Udo Lattek,Bayern München,1971-1972
Sepp Maier,Bayern München,1972-1973
Manfred Seifert,Bayern München,1972-1973
Zlatko Skoric,Bayern München,1972-1973
Franz Beckenbauer,Bayern München,1972-1973
Paul Breitner,Bayern München,1972-1973
Johnny Hansen,Bayern München,1972-1973
Gernot Rohr,Bayern München,1972-1973
Gunther Rybarczyk,Bayern München,1972-1973
Georg Schwarzenbeck,Bayern München,1972-1973
Bernd Durnberger,Bayern München,1972-1973
Uli Hoeness,Bayern München,1972-1973
Franz Krauthausen,Bayern München,1972-1973
Matthias Obermeier,Bayern München,1972-1973
Franz Roth,Bayern München,1972-1973
Georg Weiss,Bayern München,1972-1973
Herbert Zimmermann,Bayern München,1972-1973
Rainer Zobel,Bayern München,1972-1973
Wilhelm Hoffmann,Bayern München,1972-1973
Hans Jorg,Bayern München,1972-1973
Gerd Muller,Bayern München,1972-1973
Edgar Schneider,Bayern München,1972-1973
Wolfgang Suhnholz,Bayern München,1972-1973
Martin Wildgruber,Bayern München,1972-1973
Udo Lattek,Bayern München,1972-1973
Sepp Maier,Bayern München,1973-1974
Walter Modick,Bayern München,1973-1974
Hugo Robl,Bayern München,1973-1974
Franz Beckenbauer,Bayern München,1973-1974
Paul Breitner,Bayern München,1973-1974
Johnny Hansen,Bayern München,1973-1974
Viggo Jensen,Bayern München,1973-1974
Jupp Kapellmann,Bayern München,1973-1974
Gernot Rohr,Bayern München,1973-1974
Georg Schwarzenbeck,Bayern München,1973-1974
Bernd Durnberger,Bayern München,1973-1974
Erwin Hadewicz,Bayern München,1973-1974
Uli Hoeness,Bayern München,1973-1974
Franz Roth,Bayern München,1973-1974
Georg Weiss,Bayern München,1973-1974
Herbert Zimmermann,Bayern München,1973-1974
Rainer Zobel,Bayern München,1973-1974
Torben Hansen,Bayern München,1973-1974
Wilhelm Hoffmann,Bayern München,1973-1974
Norbert Ivangean,Bayern München,1973-1974
Dusan Jovanovic,Bayern München,1973-1974
Gerd Muller,Bayern München,1973-1974
Conny Torstensson,Bayern München,1973-1974
Udo Lattek,Bayern München,1973-1974
Sepp Maier,Bayern München,1974-1975
Hugo Robl,Bayern München,1974-1975
Bjorn Andersson,Bayern München,1974-1975
Franz Beckenbauer,Bayern München,1974-1975
Bernd Forster,Bayern München,1974-1975
Johnny Hansen,Bayern München,1974-1975
Jupp Kapellmann,Bayern München,1974-1975
Richard Mamajewski,Bayern München,1974-1975
Georg Schwarzenbeck,Bayern München,1974-1975
Josef Weiss,Bayern München,1974-1975
Bernd Durnberger,Bayern München,1974-1975
Uli Hoeness,Bayern München,1974-1975
Franz Michelberger,Bayern München,1974-1975
Franz Roth,Bayern München,1974-1975
Gunther Weiss,Bayern München,1974-1975
Rainer Zobel,Bayern München,1974-1975
Gerd Muller,Bayern München,1974-1975
Karl-Heinz Rummenigge,Bayern München,1974-1975
Conny Torstensson,Bayern München,1974-1975
Klaus Wunder,Bayern München,1974-1975
Dettmar Cramer,Bayern München,1974-1975
Sepp Maier,Bayern München,1975-1976
Hugo Robl,Bayern München,1975-1976
Bjorn Andersson,Bayern München,1975-1976
Franz Beckenbauer,Bayern München,1975-1976
Bernd Forster,Bayern München,1975-1976
Johnny Hansen,Bayern München,1975-1976
Udo Horsmann,Bayern München,1975-1976
Jupp Kapellmann,Bayern München,1975-1976
Richard Mamajewski,Bayern München,1975-1976
Georg Schwarzenbeck,Bayern München,1975-1976
Josef Weiss,Bayern München,1975-1976
Bernd Durnberger,Bayern München,1975-1976
Uli Hoeness,Bayern München,1975-1976
Franz Michelberger,Bayern München,1975-1976
Franz Roth,Bayern München,1975-1976
Ludwig Schuster,Bayern München,1975-1976
Kjeld Seneca,Bayern München,1975-1976
Gunther Weiss,Bayern München,1975-1976
Rainer Zobel,Bayern München,1975-1976
Rainer Kunkel,Bayern München,1975-1976
Jurgen Marek,Bayern München,1975-1976
Gerd Muller,Bayern München,1975-1976
Karl-Heinz Rummenigge,Bayern München,1975-1976
Conny Torstensson,Bayern München,1975-1976
Dettmar Cramer,Bayern München,1975-1976
Werner Olk,Bayern München,1975-1976
Hubertus Licht,Bayern München,1976-1977
Sepp Maier,Bayern München,1976-1977
Manfred Ober,Bayern München,1976-1977
Bjorn Andersson,Bayern München,1976-1977
Klaus Augenthaler,Bayern München,1976-1977
Franz Beckenbauer,Bayern München,1976-1977
Peter Gruber,Bayern München,1976-1977
Udo Horsmann,Bayern München,1976-1977
Jupp Kapellmann,Bayern München,1976-1977
Erhan Onal,Bayern München,1976-1977
Vesely Schenk,Bayern München,1976-1977
Georg Schwarzenbeck,Bayern München,1976-1977
Josef Weiss,Bayern München,1976-1977
Alfred Arbinger,Bayern München,1976-1977
Bernd Durnberger,Bayern München,1976-1977
Uli Hoeness,Bayern München,1976-1977
Franz Roth,Bayern München,1976-1977
Kjeld Seneca,Bayern München,1976-1977
Eduard Kirschner,Bayern München,1976-1977
Fritz Kloo,Bayern München,1976-1977
Rainer Kunkel,Bayern München,1976-1977
Gerd Muller,Bayern München,1976-1977
Wilhelm Reisinger,Bayern München,1976-1977
Karl-Heinz Rummenigge,Bayern München,1976-1977
Conny Torstensson,Bayern München,1976-1977
Dettmar Cramer,Bayern München,1976-1977
Werner Olk,Bayern München,1976-1977
Jack Brand,New York Cosmos (old),1977-1978
David Brcic,New York Cosmos (old),1977-1978
Yasin Ozdenak,New York Cosmos (old),1977-1978
Franz Beckenbauer,New York Cosmos (old),1977-1978
Carlos Alberto,New York Cosmos (old),1977-1978
Robert Iarusci,New York Cosmos (old),1977-1978
Werner Roth,New York Cosmos (old),1977-1978
Bobby Smith,New York Cosmos (old),1977-1978
Giuseppe Wilson,New York Cosmos (old),1977-1978
Gary Etherington,New York Cosmos (old),1977-1978
Terry Garbett,New York Cosmos (old),1977-1978
Giorgio Chinaglia,New York Cosmos (old),1977-1978
Tony Donlic,New York Cosmos (old),1977-1978
Dennis Tueart,New York Cosmos (old),1977-1978
David Brcic,New York Cosmos (old),1978-1979
Yasin Ozdenak,New York Cosmos (old),1978-1979
Franz Beckenbauer,New York Cosmos (old),1978-1979
Vladislav Bogicevic,New York Cosmos (old),1978-1979
Carlos Alberto,New York Cosmos (old),1978-1979
Andaranik Eskandarian,New York Cosmos (old),1978-1979
Santiago Formoso,New York Cosmos (old),1978-1979
Marinho Chagas,New York Cosmos (old),1978-1979
Werner Roth,New York Cosmos (old),1978-1979
Richard Davis,New York Cosmos (old),1978-1979
Gary Etherington,New York Cosmos (old),1978-1979
Terry Garbett,New York Cosmos (old),1978-1979
Garry Ayre,New York Cosmos (old),1978-1979
Giorgio Chinaglia,New York Cosmos (old),1978-1979
Seninho,New York Cosmos (old),1978-1979
Dennis Tueart,New York Cosmos (old),1978-1979
Franz Beckenbauer,New York Cosmos (old),1979-1980
Vladislav Bogicevic,New York Cosmos (old),1979-1980
Carlos Alberto,New York Cosmos (old),1979-1980
Andaranik Eskandarian,New York Cosmos (old),1979-1980
Oscar,New York Cosmos (old),1979-1980
Wim Rijsbergen,New York Cosmos (old),1979-1980
Bruce Wilson,New York Cosmos (old),1979-1980
Karim Abdul Razak,New York Cosmos (old),1979-1980
Boris Bandov,New York Cosmos (old),1979-1980
Richard Davis,New York Cosmos (old),1979-1980
Farouk Gaafar,New York Cosmos (old),1979-1980
Johan Neeskens,New York Cosmos (old),1979-1980
Giorgio Chinaglia,New York Cosmos (old),1979-1980
Darryl Gee,New York Cosmos (old),1979-1980
Mark Liveric,New York Cosmos (old),1979-1980
Seninho,New York Cosmos (old),1979-1980
Jupp Koitka,Hamburger SV,1980-1981
Uli Stein,Hamburger SV,1980-1981
Franz Beckenbauer,Hamburger SV,1980-1981
Ivan Buljan,Hamburger SV,1980-1981
Jurgen Groh,Hamburger SV,1980-1981
Peter Hidien,Hamburger SV,1980-1981
Ditmar Jakobs,Hamburger SV,1980-1981
Manfred Kaltz,Hamburger SV,1980-1981
Bernd Wehmeyer,Hamburger SV,1980-1981
Jimmy Hartwig,Hamburger SV,1980-1981
Holger Hieronymus,Hamburger SV,1980-1981
Felix Magath,Hamburger SV,1980-1981
Caspar Memering,Hamburger SV,1980-1981
Michael Schroder,Hamburger SV,1980-1981
Thomas von Heesen,Hamburger SV,1980-1981
Werner Dressel,Hamburger SV,1980-1981
Horst Hrubesch,Hamburger SV,1980-1981
Jurgen Milewski,Hamburger SV,1980-1981
Willi Reimann,Hamburger SV,1980-1981
Aleksandar Ristic,Hamburger SV,1980-1981
Jupp Koitka,Hamburger SV,1981-1982
Uli Stein,Hamburger SV,1981-1982
Franz Beckenbauer,Hamburger SV,1981-1982
Jurgen Groh,Hamburger SV,1981-1982
Peter Hidien,Hamburger SV,1981-1982
Holger Hieronymus,Hamburger SV,1981-1982
Ditmar Jakobs,Hamburger SV,1981-1982
Manfred Kaltz,Hamburger SV,1981-1982
Bernd Wehmeyer,Hamburger SV,1981-1982
Jimmy Hartwig,Hamburger SV,1981-1982
Felix Magath,Hamburger SV,1981-1982
Caspar Memering,Hamburger SV,1981-1982
Bernhard Scharold,Hamburger SV,1981-1982
Michael Schroder,Hamburger SV,1981-1982
Thomas von Heesen,Hamburger SV,1981-1982
Lars Bastrup,Hamburger SV,1981-1982
Ralf Brunnecker,Hamburger SV,1981-1982
Borislav Dordevic,Hamburger SV,1981-1982
Horst Hrubesch,Hamburger SV,1981-1982
Dieter Kramer,Hamburger SV,1981-1982
Jurgen Milewski,Hamburger SV,1981-1982
Ernst Happel,Hamburger SV,1981-1982
Aleksandar Ristic,Hamburger SV,1981-1982
