player,team,season
George Graham,Manchester United,1973-1974
Lou Macari,Manchester United,1973-1974
Mick Martin,Manchester United,1973-1974
Jim McCalliog,Manchester United,1973-1974
Sammy McIlroy,Manchester United,1973-1974
Ian Storey-Moore,Manchester United,1973-1974
Trevor Anderson,Manchester United,1973-1974
George Best,Manchester United,1973-1974
Paul Bielby,Manchester United,1973-1974
George Buchan,Manchester United,1973-1974
Peter Fletcher,Manchester United,1973-1974
Brian Kidd,Manchester United,1973-1974
Willie Morgan,Manchester United,1973-1974
Tommy Docherty,Manchester United,1973-1974
Bob Rigby,Los Angeles Aztecs,1977-1978
John McGrane,Los Angeles Aztecs,1977-1978
Bobby Sibbald,Los Angeles Aztecs,1977-1978
Tommy Smith,Los Angeles Aztecs,1977-1978
Charlie Cooke,Los Angeles Aztecs,1977-1978
George Best,Los Angeles Aztecs,1977-1978
Peter Coyne,Los Angeles Aztecs,1977-1978
Ron Davies,Los Angeles Aztecs,1977-1978
Ane Mihailovich,Los Angeles Aztecs,1977-1978
Wolfgang Suhnholz,Los Angeles Aztecs,1977-1978
Robert Corish,Fort Lauderdale Strikers (old),1978-1979
Colin Fowles,Fort Lauderdale Strikers (old),1978-1979
Tibor Gemeri,Fort Lauderdale Strikers (old),1978-1979
Mario Szlak,Fort Lauderdale Strikers (old),1978-1979
Ray Hudson,Fort Lauderdale Strikers (old),1978-1979
Gary Stanley,Fort Lauderdale Strikers (old),1978-1979
George Best,Fort Lauderdale Strikers (old),1978-1979
David Irving,Fort Lauderdale Strikers (old),1978-1979
Gary Jones,Fort Lauderdale Strikers (old),1978-1979
Fred Pereira,Fort Lauderdale Strikers (old),1978-1979
Dennis Vaninger,Fort Lauderdale Strikers (old),1978-1979
Cor van der Hart,Fort Lauderdale Strikers (old),1978-1979
James McArthur,Hibernian FC,1979-1980
Mike McDonald,Hibernian FC,1979-1980
James Brown,Hibernian FC,1979-1980
Jackie McNamara,Hibernian FC,1979-1980
Craig Paterson,Hibernian FC,1979-1980
Gordon Rae,Hibernian FC,1979-1980
George Stewart,Hibernian FC,1979-1980
Ralph Callachan,Hibernian FC,1979-1980
Colin Campbell,Hibernian FC,1979-1980
Peter Cormack,Hibernian FC,1979-1980
Arthur Duncan,Hibernian FC,1979-1980
George Best,Hibernian FC,1979-1980
Bobby Hutchinson,Hibernian FC,1979-1980
Duncan Lambie,Hibernian FC,1979-1980
Ally MacLeod,Hibernian FC,1979-1980
Willie Murray,Hibernian FC,1979-1980
Joe Ward,Hibernian FC,1979-1980
Eddie Turnbull,Hibernian FC,1979-1980
Alan Merrick,San Jose Earthquakes,1980-1981
George Best,San Jose Earthquakes,1980-1981
Mark Liveric,San Jose Earthquakes,1980-1981
Ane Mihailovich,San Jose Earthquakes,1980-1981
Jimmy Gabriel,San Jose Earthquakes,1980-1981
